post_id,view_count,like_count,comment_count,collect_count,dislike_count,hot_val,hot_rank,hot_score,final_hot_score,quality_score,update_time
p_ext_000408,5795,560,597,458,82,1597.7,1,1597.7,1534.8173,0.0896,2026-06-03 12:51:57
2101110140,6390,25,25,16,0,0.0,2,1296.2,1101.8755,0.0034,2026-06-03 12:51:57
p_ext_000925,3365,528,377,53,48,955.1,3,955.1,768.7772,0.0912,2026-06-03 12:51:57
p_ext_000351,8241,832,252,127,19,1998.8,4,1998.8,693.2254,0.0494,2026-06-03 12:51:57
p_ext_001202,16138,2142,541,1105,5,4253.5,5,4253.5,558.4464,0.0804,2026-06-03 12:51:57
2091185831,3160,11,0,1,0,0.0,6,635.5,449.4794,0.0013,2026-06-03 12:51:57
2101524138,1439,9,11,0,0,0.0,7,293.8,249.4594,0.0045,2026-06-03 12:51:57
p_ext_000605,1343,225,107,31,8,374.4,8,374.4,247.5372,0.0894,2026-06-03 12:51:57
2101508313,1368,12,19,1,0,0.0,9,283.1,192.2984,0.0075,2026-06-03 12:51:57
2101587306,1023,1,10,5,0,0.0,10,208.9,190.0344,0.005,2026-06-03 12:51:57
2101515525,1247,11,3,1,0,0.0,11,253.8,177.0736,0.0041,2026-06-03 12:51:57
p_ext_001442,1038,136,9,44,0,259.9,12,259.9,171.3626,0.0633,2026-06-03 12:51:57
2101612909,765,4,7,4,0,0.0,13,157.1,146.4275,0.0064,2026-06-03 12:51:57
2101504655,1076,1,0,0,0,0.0,14,215.5,145.0802,0.0003,2026-06-03 12:51:57
2101580742,713,4,2,0,0,0.0,15,144.4,130.371,0.0028,2026-06-03 12:51:57
2101513711,823,4,2,0,0,0.0,16,166.4,115.0365,0.0024,2026-06-03 12:51:57
2101544463,612,9,3,1,0,0.0,17,126.2,108.8221,0.0072,2026-06-03 12:51:57
p_ext_001100,756,38,39,27,8,179.7,18,179.7,103.7978,0.0435,2026-06-03 12:51:57
p_ext_000233,9595,1320,1101,322,84,2709.7,19,2709.7,99.4715,0.0926,2026-06-03 12:51:57
p_ext_000114,1767,195,74,30,8,440.1,20,440.1,98.8834,0.0562,2026-06-03 12:51:57
2101552196,507,1,6,1,0,0.0,21,103.7,90.5592,0.0049,2026-06-03 12:51:57
2101584314,475,1,4,0,0,0.0,22,96.5,87.5088,0.0033,2026-06-03 12:51:57
p_ext_000810,508,16,3,38,4,114.9,23,114.9,82.977,0.0374,2026-06-03 12:51:57
p_ext_001101,16089,2218,256,681,121,4096.2,24,4096.2,81.4815,0.0663,2026-06-03 12:51:57
p_ext_000924,1210,159,136,75,4,345.5,25,345.5,78.251,0.1007,2026-06-03 12:51:57
p_ext_000741,11815,1711,923,425,154,3238.2,26,3238.2,77.7544,0.0841,2026-06-03 12:51:57
p_ext_001632,843,105,58,18,3,221.1,27,221.1,76.2049,0.071,2026-06-03 12:51:57
p_ext_000795,11118,1761,778,337,135,3052.7,28,3052.7,74.1697,0.0846,2026-06-03 12:51:57
2101582125,404,0,0,0,0,0.0,29,80.8,73.0875,0.0,2026-06-03 12:51:57
2101589433,381,6,5,0,0,0.0,30,79.5,72.4577,0.0094,2026-06-03 12:51:57
p_ext_000107,421,53,28,22,2,112.9,31,112.9,69.9853,0.0814,2026-06-03 12:51:57
2101540770,399,1,4,0,0,0.0,32,81.3,69.6876,0.0039,2026-06-03 12:51:57
2101527263,411,4,1,0,0,0.0,33,83.7,69.6309,0.0041,2026-06-03 12:51:57
p_ext_000803,2199,78,21,103,16,490.1,34,490.1,65.0335,0.0302,2026-06-03 12:51:57
2101566295,353,2,0,0,0,0.0,35,71.2,63.3297,0.002,2026-06-03 12:51:57
2101506544,445,6,2,0,0,0.0,36,91.4,61.7928,0.0061,2026-06-03 12:51:57
2101506146,435,5,3,0,0,0.0,37,89.4,60.384,0.0061,2026-06-03 12:51:57
2101572727,322,0,2,0,0,0.0,38,65.0,58.2106,0.0019,2026-06-03 12:51:57
p_ext_000411,1258,193,87,48,5,345.2,39,345.2,57.3673,0.087,2026-06-03 12:51:57
2101523397,343,0,0,0,0,0.0,40,68.6,56.1926,0.0,2026-06-03 12:51:57
2101580916,294,5,2,0,0,0.0,41,60.9,55.0179,0.008,2026-06-03 12:51:57
p_ext_001390,2237,65,197,51,16,536.2,42,536.2,55.0106,0.0431,2026-06-03 12:51:57
2101538067,307,0,5,0,0,0.0,43,62.9,53.6284,0.0049,2026-06-03 12:51:57
2101587925,290,0,2,0,0,0.0,44,58.6,53.3416,0.0021,2026-06-03 12:51:57
p_ext_001592,1430,214,133,54,18,400.9,45,400.9,53.261,0.091,2026-06-03 12:51:57
2101556378,281,1,8,2,0,0.0,46,59.3,52.0697,0.0123,2026-06-03 12:51:57
p_ext_000545,1081,107,92,42,5,284.3,47,284.3,51.5997,0.0728,2026-06-03 12:51:57
p_ext_001245,3395,80,260,169,5,814.8,48,814.8,50.7598,0.0484,2026-06-03 12:51:57
2101528808,293,0,0,0,0,0.0,49,58.6,48.9479,0.0,2026-06-03 12:51:57
