post_id,author_id,cate_id,board,title,content,img_count,has_image,publish_time,post_age_hours,tags,topic_type,location_scope,price,need_pay,has_contact_info,report_status,finish_status,status,content_length,keyword_list
2101635776,dzQ5OWFZU1Rsb0NBdU5DMGlxR3dpSVMzYXJHR2VZZHBsNHVoYllWK3RjNnprSDJ4aWMzSWE1S21ycmlHaTd1bWZKS0FqNFoyb29lSWlXSjI=,105,问答求助,南校162共享厨房有电动打蛋器吗？,想做甜品吃，但不知道有没有电动打蛋器，求问,0,0,2026-06-03 11:43:00,1.1493,求问|校园卡|南校,生活,全校,0.0,0,0,0,10,normal,21,求问|校园卡|南校
2101634205,dHFWNWU0ZVV5YTZFdHJuWGhxL09xNGVub1dxSWhxRm9pV2Q0am9sc3o4REdwbjJrZ2F2Tmg0U290ckdVWjd5Qmk4eUVqcHA0Zkd1SmlXSjI=,101,二手交易,南校收电动车,"rt，最好是带车牌和校园牌（没有也没关系）雅迪台铃之类牌子的
有意者私",0,0,2026-06-03 11:40:00,1.1993,二手交易|闲置|南校,生活,全校,0.0,0,1,0,10,normal,35,二手交易|闲置|南校
2101633684,dTVDWHJKZk51MzkvcHFhbWlhTzhoSmFvbG95YWlJeVJsb3BqcUlHenBKbXdqcDZ3aWREWXFJZVMwTmFCWnM1bmhxZHFhWnlHZ0lLRmlXSjI=,101,二手交易,出爱依服旗袍,90r出，穿一洗一，线下实体店买的，吊牌剪了留着,5,1,2026-06-03 11:39:00,1.2159,二手交易|闲置,生活,全校,0.0,0,1,0,10,normal,24,二手交易|闲置
2101633377,dTRDQnNZTzZ4WXlVdXRETWhLK2tnWWlscGErYVpJaXJncDVxYll5Qng2NjFqcGF5bDdqRmE1S3F2cmlHb2M1a2k4K3FnWngyWjZtTnIySjI=,105,问答求助,南校求租本科学士服(女)周六6.6,"有没有姐妹刚好这周借学士服并且周六不用的
求一起拼租
当天归还
s或者m码都可以！！
感谢🙏",0,0,2026-06-03 11:39:00,1.2159,求问|校园卡|南校|租房,生活,全校,0.0,0,1,0,10,normal,46,求问|校园卡|南校|租房
2101632238,cjdLWGpuK1V5R2VTcWNpdWwzcXduWWVTcG95T2hwNXJpWXQ0Zkl5Tng3aTJmbzF1aExpYWJJUzUxNWFXWjgxcGxiZUloSnVGZjJ1SmlXSjI=,105,问答求助,东校gogo瑞幸免费送,位置点错了，免费送一杯青橘冰茶，在gogo的瑞幸。,0,0,2026-06-03 11:37:00,1.2493,求问|校园卡|东校,生活,全校,0.0,0,1,0,10,normal,25,求问|校园卡|东校
2101629901,dFd0MWZJbXFxNnVFcDZuWGdhQ3ZxNU9uZUlxUnE0eCtobjJFZ1p1bnZhNnlhSG1xbDZpV25vZTJ6NUtJWjZlc2tyZUFib2hobm4rSWlXSjI=,101,二手交易,南校毕业照拍照搭子,找南校毕业照搭子，可以互拍，本人女生，希望找个女生可以互相拍~,0,0,2026-06-03 11:33:00,1.3159,二手交易|闲置|南校|搭子,生活,全校,0.0,0,0,0,10,normal,31,二手交易|闲置|南校|搭子
2101629214,cm55Qm1uNlRrcTZJemJhVWYyV3JwcFNWaUtlWW5xNm1sb3VBaEpocjBwYTZwSTE5aTdxcmdaS3Fzc3lZZk1xQWs1UmpwNDFrbm15R2lXSjI=,105,问答求助,春晖牛腩面,想问一下春晖东厅的牛腩面现在还有吗？之前去过几次要么说卖完了要么说只有肉片面，我有点怀疑是下架了,0,0,2026-06-03 11:32:00,1.3326,求问|校园卡,生活,全校,0.0,0,0,0,10,normal,48,求问|校园卡
2101623364,dEtLYm1vTzYwWjZMdDlTNmdYdk5yWVNvb3FTTGRaMnZoYUdhb29pUnJkbXpqbjJObHJpWmE0VzV1clNZaXNsa2xiZUVhb1dlZktXWXIySjI=,105,问答求助,有无办理过法签的朋友🥹,想办理法签，有一些问题想知道🥹有没有有经验的朋友可以帮忙，谢谢大家🥰可以加我QQ，备注一下～,0,0,2026-06-03 11:23:00,1.4826,求问|校园卡,生活,全校,0.0,0,1,0,10,normal,46,求问|校园卡
2101622130,c3FLZnFaZTQxWitTekxLdGlYck9oSVdVWXJHUmhaNkNqcUpqZjVlaW5OWERhSjl1Z0x1em40VE9wcE9Kbjg2Z2dyaWVib2FJYjZXSWlXSjI=,105,问答求助,收期末真题,有偿收计院往年 操作系统、信号与系统、人工智能真题,0,0,2026-06-03 11:21:00,1.5159,求问|校园卡,生活,全校,0.0,0,1,0,10,normal,25,求问|校园卡
2101621570,eEpDYnE0UFB5WjZMemN6SmxxSzBkNVBNbWJHS2g0Ujhqbmltc0lTenlwaTNzb1ZyZ05HanFvT3FwZHQvWnJ5RWt0eDRwSXFlb3FDR2lXSjI=,105,问答求助,中深西七招待所学生可以订吗,宿舍有点吵，想换个地方睡几天,0,0,2026-06-03 11:20:00,1.5326,求问|校园卡|宿舍,生活,全校,0.0,0,0,0,10,normal,14,求问|校园卡|宿舍
2101617209,eGFXcXNYK1Z0Nk4vdWN5cmxXaXJyb0tWaEhxWm41cURobnVpc1lxbXg1eXphR2lTak4zTmE0ZVQxTktWZTgydGhaUmpyWTUwYjRXV3IySjI=,101,二手交易,南校出8层鞋架,大概可以放15-20双鞋，173自提，15,1,1,2026-06-03 11:14:00,1.6326,二手交易|闲置|南校,生活,全校,0.0,0,1,0,10,normal,21,二手交易|闲置|南校
