user_id,selected_tags,selected_boards,selected_scene,filled_time
u_ext_00102,招聘|考研|实习,考研保研|实习就业|兼职实习,开学季,2026-05-28 12:51:57
u_ext_00108,实习|租房|科研,二手交易|实习就业|兼职实习,午餐时间,2026-05-13 12:51:57
u_ext_00109,考研|实习|竞赛,考研保研|竞赛科研|实习就业,开学季,2026-06-02 12:51:57
u_ext_00111,二手交易|租房|毕业,二手交易,普通浏览,2026-05-24 12:51:57
u_ext_00114,保研|竞赛|实习,考研保研|竞赛科研|实习就业,晚间学习,2026-05-23 12:51:57
u_ext_00116,实习|租房|科研,二手交易|实习就业|兼职实习,午餐时间,2026-05-20 12:51:57
u_ext_00127,招聘|租房|科研,二手交易|实习就业|兼职实习,考试周,2026-05-09 12:51:57
u_ext_00131,社团|校园生活|新生攻略,校园生活|食堂生活|社团活动,晚间学习,2026-05-07 12:51:57
u_ext_00143,科研|招聘|租房,二手交易|实习就业|兼职实习,毕业季,2026-05-29 12:51:57
u_ext_00145,竞赛|保研|考研,考研保研|竞赛科研,考试周,2026-05-30 12:51:57
u_ext_00147,招聘|实习|租房,二手交易|实习就业|兼职实习,开学季,2026-05-18 12:51:57
u_ext_00151,保研|实习|考研,考研保研|实习就业|兼职实习,晚间学习,2026-05-08 12:51:57
u_ext_00162,实习|简历|社团,社团活动|实习就业|兼职实习,午餐时间,2026-05-09 12:51:57
u_ext_00163,二手交易|课程资料|竞赛,二手交易|问答求助|学习交流,晚间学习,2026-05-07 12:51:57
u_ext_00169,新生攻略|校园生活|社团,校园生活|食堂生活|社团活动,普通浏览,2026-05-11 12:51:57
u_ext_00176,简历|二手交易|兼职,二手交易|实习就业|兼职实习,午餐时间,2026-05-18 12:51:57
u_ext_00183,社团|二手交易|竞赛,二手交易|社团活动|竞赛科研,开学季,2026-05-11 12:51:57
u_ext_00185,二手交易|竞赛|社团,二手交易|社团活动|竞赛科研,午餐时间,2026-05-30 12:51:57
u_ext_00190,实习|招聘|租房,二手交易|实习就业|兼职实习,普通浏览,2026-05-15 12:51:57
u_ext_00197,选课|校园生活|新生攻略,校园生活|课程评价|食堂生活,普通浏览,2026-05-08 12:51:57
