behavior_id,user_id,post_id,action_type,action_weight,timestamp,dwell_time,time_period,location,device_type,scene,is_positive,source
b00004474,u_ext_00294,p_ext_001690,skip,-1,2025-12-04 12:53:57,7,中午,教学区,mobile,毕业季,0,expanded
b00018954,u_ext_00128,p_ext_000550,view,1,2025-12-04 12:58:57,48,中午,图书馆,mobile,晚间学习,1,expanded
b00022716,dElDZmU0VzYwV2VHemRpcmxxSFNwSVdTcXFpYVlaNTltSHBqcTRGc3FjNnZnSVdPZ0xpbmVvdXBxcnVXZmJCbWdLcWhiSnAzZkh1SGlXSjI=,p_ext_001952,like,2,2025-12-04 13:03:57,70,中午,教学区,mobile,毕业季,1,expanded
b00012496,dzZXQmdJTzZsckNGdDVXcWZtaWtxSk81aUt1RmlZK3dpcUdhanBxbHZiKzBwWDE5bHFqSXJJS1VxdEdZbjdoN2c5dHJzbzJjaEltS2lXSjI=,p_ext_001390,view,1,2025-12-04 13:10:57,88,中午,教学区,mobile,晚间学习,1,expanded
b00015630,u_ext_00314,p_ext_000591,skip,-1,2025-12-04 13:24:57,6,中午,食堂区,mobile,开学季,0,expanded
b00026054,u_ext_00389,2101110140,skip,-1,2025-12-04 13:30:57,5,中午,校外,tablet,午餐时间,0,expanded
b00004106,u_ext_00343,p_ext_001887,skip,-1,2025-12-04 13:50:57,3,中午,宿舍区,tablet,考试周,0,expanded
b00008957,czQrRmdaV3IwWW1FcHNpa2xwK2tycFduZUt1WVpKcUFqb2w4ajQyT25LeTRqWmVUZnBQVWFuK1NzdEdHbjg1K2k4MkVzSm1GaUhxRmlXSjI=,p_ext_000654,skip,-1,2025-12-04 13:55:57,4,中午,教学区,tablet,晚间学习,0,expanded
b00021111,dTQ2TmZJemRxbWw5azY2MWpYcThnNHFTbnEySm5ZeHRnWitNcElxa3ZiQ3ZqWDJ4ZjlDU2U1SzZwcldVZmJpRmhhbXFwWXVHbnF1SGlXSjI=,p_ext_001981,like,2,2025-12-04 14:10:57,106,下午,教学区,mobile,普通浏览,1,expanded
b00020340,eHFPRWJaV25xMnFUemE2bmxtYW5aSmFxZktXWllZaUJtWitJZll0K25OU3Zmbld3aDgydmlZWGNwWkdLbjhhaGg1S2VpSnRqZklHT3IySjI=,p_ext_001431,collect,4,2025-12-04 14:12:57,73,下午,教学区,pc,考试周,1,expanded
b00018720,u_ext_00226,p_ext_001700,skip,-1,2025-12-04 14:19:57,5,下午,校外,pc,毕业季,0,expanded
b00022872,u_ext_00230,p_ext_000875,view,1,2025-12-04 14:26:57,61,下午,图书馆,mobile,普通浏览,1,expanded
b00029913,dTJtZmdwZTIxYStUcUxYVGxHV1RvNGUzZUtLWmQ0ZHRpR2lJcVpsL3g3UERvb2l3bGRHcnE0UzRwcm1BZXErdWxaT0lzWVNFYjJpSmlXSjI=,p_ext_001202,dislike,-2,2025-12-04 15:02:57,7,下午,教学区,pc,考试周,0,expanded
b00008432,u_ext_00194,p_ext_000500,view,1,2025-12-04 15:03:57,95,下午,食堂区,tablet,毕业季,1,expanded
b00024613,czMxbnNaU251NUNBcHI2cGlHVzhkNGE2ZktXRlk2S0poMmlpZ28rbTA5dkZvMzJ5Z0xpN2VwV295TnVIWnNxTmhaUjhwSnFGaklTRGVXSjI=,p_ext_000669,skip,-1,2025-12-04 15:11:57,4,下午,教学区,pc,考试周,0,expanded
b00021506,u_ext_00245,p_ext_001661,view,1,2025-12-04 15:16:57,52,下午,教学区,pc,毕业季,1,expanded
b00029717,u_ext_00265,p_ext_001053,skip,-1,2025-12-04 15:16:57,8,下午,教学区,pc,午餐时间,0,expanded
b00013676,cjZGc2lJdTZwNCtGcWFxMWhwL0daWCtUaEtPYm5tYXZncTkwcDRGc3JKdkRvb2h0bEpXV29vVFFydGlKbjZpTmhKT2llcHRqbm51QmVXSjI=,2101521276,expose,0,2025-12-04 15:19:57,0,下午,教学区,mobile,考试周,0,expanded
b00013094,u_ext_00355,p_ext_001809,expose,0,2025-12-04 15:19:57,0,下午,食堂区,pc,考试周,0,expanded
b00006766,u_ext_00446,p_ext_001469,skip,-1,2025-12-04 15:20:57,3,下午,食堂区,tablet,晚间学习,0,expanded
b00014692,u_ext_00423,p_ext_000621,view,1,2025-12-04 15:33:57,18,下午,教学区,mobile,开学季,1,expanded
b00021001,u_ext_00106,p_ext_000351,skip,-1,2025-12-04 15:39:57,8,下午,教学区,tablet,毕业季,0,expanded
b00018673,d24ramduK1VzcTkvdHI2VGdYbTRubjYzaUk2TllxS2ttWXQ4b28xK3ViU3prSXlyZzd1bmk1T24wTFNXZTlKM2Y1U1dpSXFHaEk2TGlXSjI=,p_ext_001975,skip,-1,2025-12-04 16:04:57,5,下午,教学区,pc,开学季,0,expanded
b00004417,cjMrRms1ZXJyNE4vcWR2YWlJdktySkxjbHFlTG5hYXJpNkdpajVxbTA2KzFrSFd6bHMrN281UFF0cTZJZTZTRGdMcUxhWkNkZkdpQ2VXSjI=,2101587306,skip,-1,2025-12-04 16:15:57,6,下午,教学区,pc,晚间学习,0,expanded
b00011953,u_ext_00163,p_ext_000341,skip,-1,2025-12-04 16:21:57,3,下午,食堂区,tablet,考试周,0,expanded
b00011833,dTVDWHJKZk51MzkvcHFhbWlhTzhoSmFvbG95YWlJeVJsb3BqcUlHenBKbXdqcDZ3aWREWXFJZVMwTmFCWnM1bmhxZHFhWnlHZ0lLRmlXSjI=,p_ext_001563,view,1,2025-12-04 16:41:57,71,下午,教学区,mobile,普通浏览,1,expanded
b00004150,u_ext_00424,p_ext_001144,skip,-1,2025-12-04 16:53:57,8,下午,宿舍区,pc,毕业季,0,expanded
b00005796,u_ext_00160,p_ext_001172,skip,-1,2025-12-04 17:00:57,4,下午,教学区,mobile,开学季,0,expanded
b00018973,u_ext_00473,p_ext_001449,skip,-1,2025-12-04 17:00:57,8,下午,食堂区,pc,晚间学习,0,expanded
b00020406,c28rQmlJdlF4SzZIemE3YmdZM05aWk9UZEtTYVlZU0NoWXVpb3BxTnlwZkZwSUN6bGFlM1pvYTN6OXFLZk5xT2hMYUlvNG1HZklLSmlXSjI=,p_ext_001188,skip,-1,2025-12-04 17:01:57,1,下午,教学区,mobile,普通浏览,0,expanded
