user_id,long_term_tags,short_term_tags,preferred_boards,active_time_period,preferred_location,learning_interest_weight,life_interest_weight,social_interest_weight,career_interest_weight,avg_dwell_time,click_rate,like_rate,collect_rate,comment_rate,last_update_time
dzQ5OWFZU1Rsb0NBdU5DMGlxR3dpSVMzYXJHR2VZZHBsNHVoYllWK3RjNnprSDJ4aWMzSWE1S21ycmlHaTd1bWZKS0FqNFoyb29lSWlXSjI=,给分|老师|课程评价|校园卡|求问|打印店|课程资料|南校,给分|老师|课程评价|求问|校园卡|南校,课程评价|问答求助|学习交流|二手交易,早上,教学区,0.870213,0.129787,0.0,0.0,61.9,0.25974,0.038961,0.0,0.064935,2026-06-03 14:50:12
dHFWNWU0ZVV5YTZFdHJuWGhxL09xNGVub1dxSWhxRm9pV2Q0am9sc3o4REdwbjJrZ2F2Tmg0U290ckdVWjd5Qmk4eUVqcHA0Zkd1SmlXSjI=,二手交易|教材|闲置|电动车|租房|南校|宿舍|课程资料,二手交易|教材|电动车|闲置|租房,二手交易|问答求助|校园生活,早上,教学区,0.0,1.0,0.0,0.0,73.375,0.150943,0.056604,0.056604,0.018868,2026-06-03 14:50:12
dTVDWHJKZk51MzkvcHFhbWlhTzhoSmFvbG95YWlJeVJsb3BqcUlHenBKbXdqcDZ3aWREWXFJZVMwTmFCWnM1bmhxZHFhWnlHZ0lLRmlXSjI=,二手交易|闲置|电动车|教材|租房,二手交易|闲置|电动车|教材|租房,二手交易,早上,教学区,0.0,0.0,0.0,0.0,88.0,0.155556,0.044444,0.022222,0.022222,2026-06-03 14:50:12
dTRDQnNZTzZ4WXlVdXRETWhLK2tnWWlscGErYVpJaXJncDVxYll5Qng2NjFqcGF5bDdqRmE1S3F2cmlHb2M1a2k4K3FnWngyWjZtTnIySjI=,校园卡|宿舍|求问|课程资料|打印店|租房|二手交易|电动车,校园卡|宿舍,问答求助|二手交易,深夜,教学区,0.352777,0.647223,0.0,0.0,68.071429,0.241379,0.034483,0.068966,0.034483,2026-06-03 14:50:12
cjdLWGpuK1V5R2VTcWNpdWwzcXduWWVTcG95T2hwNXJpWXQ0Zkl5Tng3aTJmbzF1aExpYWJJUzUxNWFXWjgxcGxiZUloSnVGZjJ1SmlXSjI=,校园卡|课程资料|求问|打印店|宿舍,校园卡|课程资料|求问|打印店|宿舍,问答求助,深夜,教学区,0.0,0.0,0.0,0.0,73.9375,0.231884,0.014493,0.057971,0.0,2026-06-03 14:50:12
dFd0MWZJbXFxNnVFcDZuWGdhQ3ZxNU9uZUlxUnE0eCtobjJFZ1p1bnZhNnlhSG1xbDZpV25vZTJ6NUtJWjZlc2tyZUFib2hobm4rSWlXSjI=,闲置|二手交易|电动车|教材|租房|搭子|交友|宿舍,闲置|电动车|二手交易|教材,二手交易|恋爱交友|校园生活|问答求助,深夜,教学区,0.0,0.0,0.0,0.0,62.071429,0.208955,0.059701,0.014925,0.0,2026-06-03 14:50:12
cm55Qm1uNlRrcTZJemJhVWYyV3JwcFNWaUtlWW5xNm1sb3VBaEpocjBwYTZwSTE5aTdxcmdaS3Fzc3lZZk1xQWs1UmpwNDFrbm15R2lXSjI=,校园卡|求问|宿舍|课程资料|打印店|薪资|家教|实习,校园卡|求问|宿舍|课程资料|打印店|薪资,问答求助|兼职实习,早上,教学区,0.813937,0.126169,0.0,0.059894,65.583333,0.218182,0.109091,0.0,0.054545,2026-06-03 14:50:12
dEtLYm1vTzYwWjZMdDlTNmdYdk5yWVNvb3FTTGRaMnZoYUdhb29pUnJkbXpqbjJObHJpWmE0VzV1clNZaXNsa2xiZUVhb1dlZktXWXIySjI=,求问|校园卡|宿舍|打印店|课程资料,求问|校园卡|宿舍|打印店|课程资料,问答求助,早上,教学区,0.0,0.0,0.0,0.0,83.222222,0.155172,0.086207,0.017241,0.0,2026-06-03 14:50:12
c3FLZnFaZTQxWitTekxLdGlYck9oSVdVWXJHUmhaNkNqcUpqZjVlaW5OWERhSjl1Z0x1em40VE9wcE9Kbjg2Z2dyaWVib2FJYjZXSWlXSjI=,求问|校园卡|宿舍|打印店|课程资料|图书馆,求问|校园卡|宿舍|打印店|课程资料|图书馆,问答求助,晚上,教学区,0.0,0.0,0.0,0.0,56.666667,0.12,0.12,0.0,0.02,2026-06-03 14:50:12
eEpDYnE0UFB5WjZMemN6SmxxSzBkNVBNbWJHS2g0Ujhqbmltc0lTenlwaTNzb1ZyZ05HanFvT3FwZHQvWnJ5RWt0eDRwSXFlb3FDR2lXSjI=,校园卡|求问|课程资料|宿舍|打印店|租房|东校|图书馆,校园卡|打印店,问答求助,早上,教学区,0.611059,0.388941,0.0,0.0,63.545455,0.171875,0.09375,0.046875,0.03125,2026-06-03 14:50:12
