user_id,nickname,user_level,user_level_title,grade,college,major,campus,interest_tags,register_time,is_new_user,questionnaire_filled,default_location,status
dzQ5OWFZU1Rsb0NBdU5DMGlxR3dpSVMzYXJHR2VZZHBsNHVoYllWK3RjNnprSDJ4aWMzSWE1S21ycmlHaTd1bWZKS0FqNFoyb29lSWlXSjI=,何以解忧唯有排球,2,小学生,大三,管理学院,会计学,东校园,求问|校园卡|南校,2026-02-03 11:43:00,0,0,教学区,normal
dHFWNWU0ZVV5YTZFdHJuWGhxL09xNGVub1dxSWhxRm9pV2Q0am9sc3o4REdwbjJrZ2F2Tmg0U290ckdVWjd5Qmk4eUVqcHA0Zkd1SmlXSjI=,恒真式,3,初中生,大四,医学院,口腔医学,深圳校区,二手交易|闲置|南校,2026-02-03 11:40:00,0,0,教学区,normal
dTVDWHJKZk51MzkvcHFhbWlhTzhoSmFvbG95YWlJeVJsb3BqcUlHenBKbXdqcDZ3aWREWXFJZVMwTmFCWnM1bmhxZHFhWnlHZ0lLRmlXSjI=,wyvxudn,4,高中生,研三,法学院,知识产权,东校园,二手交易|闲置,2026-02-03 11:39:00,0,0,教学区,normal
dTRDQnNZTzZ4WXlVdXRETWhLK2tnWWlscGErYVpJaXJncDVxYll5Qng2NjFqcGF5bDdqRmE1S3F2cmlHb2M1a2k4K3FnWngyWjZtTnIySjI=,xysubecess,5,本科生,研一,计算机学院,软件工程,南校园,求问|校园卡|南校|租房,2026-02-03 11:39:00,0,0,教学区,normal
cjdLWGpuK1V5R2VTcWNpdWwzcXduWWVTcG95T2hwNXJpWXQ0Zkl5Tng3aTJmbzF1aExpYWJJUzUxNWFXWjgxcGxiZUloSnVGZjJ1SmlXSjI=,江夏,3,初中生,研三,数学学院,数学与应用数学,珠海校区,求问|校园卡|东校,2026-02-03 11:37:00,0,0,教学区,normal
dFd0MWZJbXFxNnVFcDZuWGdhQ3ZxNU9uZUlxUnE0eCtobjJFZ1p1bnZhNnlhSG1xbDZpV25vZTJ6NUtJWjZlc2tyZUFib2hobm4rSWlXSjI=,愚也愉,4,高中生,研三,计算机学院,网络工程,北校园,二手交易|闲置|南校|搭子,2026-02-03 11:33:00,0,0,教学区,normal
cm55Qm1uNlRrcTZJemJhVWYyV3JwcFNWaUtlWW5xNm1sb3VBaEpocjBwYTZwSTE5aTdxcmdaS3Fzc3lZZk1xQWs1UmpwNDFrbm15R2lXSjI=,assfghjkl,3,初中生,大四,公共卫生学院,公共卫生,北校园,求问|校园卡,2026-02-03 11:32:00,0,0,教学区,normal
dEtLYm1vTzYwWjZMdDlTNmdYdk5yWVNvb3FTTGRaMnZoYUdhb29pUnJkbXpqbjJObHJpWmE0VzV1clNZaXNsa2xiZUVhb1dlZktXWXIySjI=,等天晴,3,初中生,研三,电子信息学院,物联网工程,深圳校区,求问|校园卡,2026-02-03 11:23:00,0,0,教学区,normal
c3FLZnFaZTQxWitTekxLdGlYck9oSVdVWXJHUmhaNkNqcUpqZjVlaW5OWERhSjl1Z0x1em40VE9wcE9Kbjg2Z2dyaWVib2FJYjZXSWlXSjI=,rrr1,3,初中生,研二,管理学院,市场营销,南校园,求问|校园卡,2026-02-03 11:21:00,0,0,教学区,normal
eEpDYnE0UFB5WjZMemN6SmxxSzBkNVBNbWJHS2g0Ujhqbmltc0lTenlwaTNzb1ZyZ05HanFvT3FwZHQvWnJ5RWt0eDRwSXFlb3FDR2lXSjI=,求放过a,6,硕士生,研一,医学院,基础医学,北校园,求问|校园卡|宿舍,2026-02-03 11:20:00,0,0,教学区,normal
eGFXcXNYK1Z0Nk4vdWN5cmxXaXJyb0tWaEhxWm41cURobnVpc1lxbXg1eXphR2lTak4zTmE0ZVQxTktWZTgydGhaUmpyWTUwYjRXV3IySjI=,开心企鹅,6,硕士生,大二,法学院,知识产权,南校园,二手交易|闲置|南校,2026-02-03 11:14:00,0,0,教学区,normal
cjVCNGE0ek5wNjZGenE3VGpXZTNaSC9PYzZxRmVJaXRpbnBucm9scXp0MjFnSUdobHJpbnNJV3AzS3lCb2M2bmc3aDByWTEzZjJxV3IySjI=,泥椰椰,4,高中生,大三,电子信息学院,物联网工程,珠海校区,求问|校园卡|南校|宿舍,2026-02-03 11:09:00,0,0,教学区,normal
cjMrRms1ZXJyNE4vcWR2YWlJdktySkxjbHFlTG5hYXJpNkdpajVxbTA2KzFrSFd6bHMrN281UFF0cTZJZTZTRGdMcUxhWkNkZkdpQ2VXSjI=,集市用户369,6,硕士生,大四,管理学院,信息管理,南校园,二手交易|闲置,2026-02-03 11:08:00,0,0,教学区,normal
dG9DanFaZlJ0bWFMcHJLV2dHZXdqSk9tZ0tpTFpJQ0VtR2VxcElTTno3N0RnSDJ0aGFxVnFIN1Fxc3lWZXM2R2hicUlySXVyaUkrSGlXSjI=,不想写论文文文,7,博士生,研一,中文系,传播学,珠海校区,交友|搭子,2026-02-03 11:07:00,0,0,教学区,normal
eFdwb29wZlJ5YStGazYyVmdLTFNpSlMyakxLTWQ2WnRsbnhuYm95T3k2eTNwcHF5Zjg3RmpvYTVxc3lJakplRWk1V0VxNW1jZ0s2Q2VXSjI=,施氏食狮史,4,高中生,研一,中文系,新闻学,珠海校区,求问|校园卡|宿舍,2026-02-03 11:04:00,0,0,教学区,normal
czQrRmdaV3IwWW1FcHNpa2xwK2tycFduZUt1WVpKcUFqb2w4ajQyT25LeTRqWmVUZnBQVWFuK1NzdEdHbjg1K2k4MkVzSm1GaUhxRmlXSjI=,集友_eTAsYDz,3,初中生,研一,法学院,法学,深圳校区,求问|校园卡|南校,2026-02-03 11:04:00,0,0,教学区,normal
dFpDSWJaTzVwMzE4M016U2g0MmpaWlNUZTIyRlk0ZHRqWXVFb1krbnFONjRmSit5aTlDVnJvdVMzSmVVaTZldWk2aU1wbzE0a0lDQmVXSjI=,有款游戏越打越年轻,8,讲师,研三,公共卫生学院,预防医学,南校园,交友|搭子,2026-02-03 11:00:00,0,0,教学区,normal
cjJtanNZVzdzNHVBcUxYWWlvckthWWpNaDZxTlpKNkdobWlWcTRtUno1bkNzcCt1aWJmTmUzNlYwOXFVcnRhZWxLaDhqcHAzZUsrWHIySjI=,只想睡觉QAQ,3,初中生,研二,医学院,临床医学,深圳校区,求问|校园卡|东校|食堂,2026-02-03 11:00:00,0,0,教学区,normal
dG42TnEzL091NHVTMEw3T2w2RzRaNVducHFtRlluOXJnNHg0aTRoOXk5M0RwbldEaEpXNmFKVzV0cldIWjlxS2lNNmVvSVdybXFxQmVXSjI=,mmmm111,5,本科生,大四,中文系,汉语言文学,珠海校区,二手交易|闲置|东校,2026-02-03 10:59:00,0,0,教学区,normal
cjMrZWFZV1dxNHAva3REYmhhK25hSU8yaDYrS2RLcUxqbnFpcEpxQnJhNjJpNmV3aExtemlJcVR1cVNZamJTZWxybW1qWnVhYjRtRmlXSjI=,曦曦S,4,高中生,研三,公共卫生学院,预防医学,珠海校区,求问|校园卡|南校,2026-02-03 10:58:00,0,0,教学区,normal
c294NW9veTdwNWVUenJIVGlveTBlNVRQWW1pWW0zaWhpbnVhaEl5a25NQzNqNmRxaTdtdnJJdTV1cW1FaXBlVmdzMTNhb21yZkg2WXIySjI=,马甲乃最为珍贵之物,4,高中生,研二,法学院,知识产权,深圳校区,求问|校园卡,2026-02-03 10:56:00,0,0,教学区,normal
dzZXQmdJTzZsckNGdDVXcWZtaWtxSk81aUt1RmlZK3dpcUdhanBxbHZiKzBwWDE5bHFqSXJJS1VxdEdZbjdoN2c5dHJzbzJjaEltS2lXSjI=,uuu333,5,本科生,研二,中文系,新闻学,深圳校区,求问|校园卡,2026-02-03 10:52:00,0,0,教学区,normal
dDN5QmZJbXF1cXlFME5DcGxxT29sWktwWTRpSW5tNnhnR1dMc0ppQXl0eXpqWUdFbHBXdVozNm4xTktJaksrdWZ0Q2FnNXQxb29hSWlXSjI=,电灯泡本尊,5,本科生,研二,医学院,基础医学,珠海校区,二手交易|闲置,2026-02-03 10:51:00,0,0,教学区,normal
